"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",53.0,48,-1.3,54.3
AL-003,"Baldwin County",57.6,61,-0.7,58.3
AL-005,"Barbour County",54.6,47,-1.2,55.8
AL-007,"Bibb County",51.2,44,-1.6,52.8
AL-009,"Blount County",50.3,61,-0.3,50.6
AL-011,"Bullock County",54.1,55,-1.0,55.1
AL-013,"Butler County",54.4,57,-0.9,55.3
AL-015,"Calhoun County",50.2,53,-0.8,51
AL-017,"Chambers County",51.1,53,-1.0,52.1
AL-019,"Cherokee County",49.1,45,-1.4,50.5
AL-021,"Chilton County",51.6,48,-1.4,53
AL-023,"Choctaw County",53.9,55,-0.9,54.8
AL-025,"Clarke County",54.5,55,-0.9,55.4
AL-027,"Clay County",50.1,52,-1.1,51.2
AL-029,"Cleburne County",49.3,52,-0.9,50.2
AL-031,"Coffee County",55.2,46,-1.3,56.5
AL-033,"Colbert County",49.0,59,-0.6,49.6
AL-035,"Conecuh County",55.6,59,-0.6,56.2
AL-037,"Coosa County",51.3,47,-1.5,52.8
AL-039,"Covington County",55.3,52,-1.2,56.5
AL-041,"Crenshaw County",54.2,54,-1.1,55.3
AL-043,"Cullman County",49.5,52,-0.9,50.4
AL-045,"Dale County",55.4,45,-1.4,56.8
AL-047,"Dallas County",53.8,52,-0.9,54.7
AL-049,"DeKalb County",48.4,51,-1.1,49.5
AL-051,"Elmore County",53.0,47,-1.4,54.4
AL-053,"Escambia County",56.5,62,-0.3,56.8
AL-055,"Etowah County",50.2,56,-0.6,50.8
AL-057,"Fayette County",49.6,36,-2.1,51.7
AL-059,"Franklin County",48.8,55,-1.0,49.8
AL-061,"Geneva County",55.3,36,-1.9,57.2
AL-063,"Greene County",51.9,38,-1.9,53.8
AL-065,"Hale County",51.9,38,-2.0,53.9
AL-067,"Henry County",55.3,41,-1.5,56.8
AL-069,"Houston County",55.7,34,-1.9,57.6
AL-071,"Jackson County",48.0,45,-1.5,49.5
AL-073,"Jefferson County",50.5,47,-1.2,51.7
AL-075,"Lamar County",49.8,38,-2.0,51.8
AL-077,"Lauderdale County",48.3,56,-0.8,49.1
AL-079,"Lawrence County",48.5,47,-1.3,49.8
AL-081,"Lee County",52.4,42,-1.5,53.9
AL-083,"Limestone County",48.2,45,-1.4,49.6
AL-085,"Lowndes County",53.9,50,-1.2,55.1
AL-087,"Macon County",53.6,49,-1.3,54.9
AL-089,"Madison County",48.4,45,-1.4,49.8
AL-091,"Marengo County",53.3,47,-1.3,54.6
AL-093,"Marion County",48.9,44,-1.7,50.6
AL-095,"Marshall County",50.0,59,-0.5,50.5
AL-097,"Mobile County",56.6,49,-1.2,57.8
AL-099,"Monroe County",55.3,61,-0.5,55.8
AL-101,"Montgomery County",54.2,55,-0.9,55.1
AL-103,"Morgan County",49.1,52,-1.0,50.1
AL-105,"Perry County",52.4,46,-1.5,53.9
AL-107,"Pickens County",50.8,34,-2.1,52.9
AL-109,"Pike County",54.6,57,-1.0,55.6
AL-111,"Randolph County",50.1,57,-0.7,50.8
AL-113,"Russell County",53.3,40,-1.7,55
AL-115,"St. Clair County",50.6,54,-0.5,51.1
AL-117,"Shelby County",50.9,49,-1.2,52.1
AL-119,"Sumter County",52.5,41,-1.6,54.1
AL-121,"Talladega County",50.8,50,-1.0,51.8
AL-123,"Tallapoosa County",51.4,47,-1.4,52.8
AL-125,"Tuscaloosa County",50.8,36,-2.1,52.9
AL-127,"Walker County",49.6,39,-1.8,51.4
AL-129,"Washington County",55.2,58,-0.8,56
AL-131,"Wilcox County",54.3,54,-0.9,55.2
AL-133,"Winston County",48.4,42,-1.8,50.2
AZ-001,"Apache County",44.2,125,5.0,39.2
AZ-003,"Cochise County",56.1,123,5.4,50.7
AZ-005,"Coconino County",48.0,126,6.9,41.1
AZ-007,"Gila County",55.7,124,6.7,49
AZ-009,"Graham County",56.2,124,6.0,50.2
AZ-011,"Greenlee County",53.0,126,7.0,46
AZ-012,"La Paz County",66.9,126,7.4,59.5
AZ-013,"Maricopa County",66.4,126,7.4,59
AZ-015,"Mohave County",58.5,126,7.5,51
AZ-017,"Navajo County",46.1,125,6.0,40.1
AZ-019,"Pima County",63.8,124,6.6,57.2
AZ-021,"Pinal County",64.3,126,6.7,57.6
AZ-023,"Santa Cruz County",57.5,124,5.9,51.6
AZ-025,"Yavapai County",57.0,127,8.0,49
AZ-027,"Yuma County",67.7,126,7.0,60.7
AR-001,"Arkansas County",50.8,54,-0.9,51.7
AR-003,"Ashley County",52.1,56,-0.9,53
AR-005,"Baxter County",47.0,68,0.5,46.5
AR-007,"Benton County",48.0,74,1.1,46.9
AR-009,"Boone County",47.3,71,1.0,46.3
AR-011,"Bradley County",51.4,55,-0.8,52.2
AR-013,"Calhoun County",50.9,46,-1.3,52.2
AR-015,"Carroll County",47.6,71,1.0,46.6
AR-017,"Chicot County",52.4,54,-1.0,53.4
AR-019,"Clark County",50.4,49,-1.1,51.5
AR-021,"Clay County",47.8,65,0.2,47.6
AR-023,"Cleburne County",48.0,63,-0.4,48.4
AR-025,"Cleveland County",50.7,50,-1.0,51.7
AR-027,"Columbia County",51.3,36,-1.8,53.1
AR-029,"Conway County",48.4,48,-1.0,49.4
AR-031,"Craighead County",48.1,57,-0.4,48.5
AR-033,"Crawford County",48.8,62,0.0,48.8
AR-035,"Crittenden County",49.5,48,-1.1,50.6
AR-037,"Cross County",48.5,39,-1.4,49.9
AR-039,"Dallas County",50.3,46,-1.3,51.6
AR-041,"Desha County",51.2,47,-1.2,52.4
AR-043,"Drew County",51.5,55,-0.9,52.4
AR-045,"Faulkner County",48.9,51,-0.9,49.8
AR-047,"Franklin County",48.4,60,-0.4,48.8
AR-049,"Fulton County",46.8,75,0.9,45.9
AR-051,"Garland County",49.8,60,-0.4,50.2
AR-053,"Grant County",50.3,54,-1.1,51.4
AR-055,"Greene County",48.0,66,0.1,47.9
AR-057,"Hempstead County",50.7,39,-1.5,52.2
AR-059,"Hot Spring County",50.5,60,-0.6,51.1
AR-061,"Howard County",50.1,56,-0.8,50.9
AR-063,"Independence County",47.5,58,-0.5,48
AR-065,"Izard County",47.0,68,0.2,46.8
AR-067,"Jackson County",47.6,46,-1.0,48.6
AR-069,"Jefferson County",50.6,54,-0.9,51.5
AR-071,"Johnson County",47.7,56,-0.5,48.2
AR-073,"Lafayette County",51.8,42,-1.4,53.2
AR-075,"Lawrence County",47.3,58,-0.4,47.7
AR-077,"Lee County",50.5,58,-0.5,51
AR-079,"Lincoln County",51.1,55,-0.8,51.9
AR-081,"Little River County",51.8,58,-0.6,52.4
AR-083,"Logan County",48.8,54,-0.7,49.5
AR-085,"Lonoke County",50.0,54,-0.9,50.9
AR-087,"Madison County",46.7,67,0.4,46.3
AR-089,"Marion County",46.8,67,0.3,46.5
AR-091,"Miller County",52.2,48,-1.2,53.4
AR-093,"Mississippi County",48.8,55,-0.5,49.3
AR-095,"Monroe County",50.5,60,-0.5,51
AR-097,"Montgomery County",49.6,62,0.1,49.5
AR-099,"Nevada County",50.4,34,-1.9,52.3
AR-101,"Newton County",46.3,63,0.2,46.1
AR-103,"Ouachita County",50.5,32,-2.1,52.6
AR-105,"Perry County",48.9,50,-1.1,50
AR-107,"Phillips County",50.9,56,-0.6,51.5
AR-109,"Pike County",49.8,52,-0.9,50.7
AR-111,"Poinsett County",48.2,50,-1.0,49.2
AR-113,"Polk County",49.3,63,0.4,48.9
AR-115,"Pope County",47.4,51,-1.0,48.4
AR-117,"Prairie County",50.1,58,-0.7,50.8
AR-119,"Pulaski County",49.7,51,-1.0,50.7
AR-121,"Randolph County",47.2,68,0.2,47
AR-123,"St. Francis County",49.5,50,-1.1,50.6
AR-125,"Saline County",49.7,56,-0.9,50.6
AR-127,"Scott County",49.4,64,0.3,49.1
AR-129,"Searcy County",45.8,51,-0.7,46.5
AR-131,"Sebastian County",50.0,66,0.3,49.7
AR-133,"Sevier County",51.2,62,-0.1,51.3
AR-135,"Sharp County",46.8,68,0.2,46.6
AR-137,"Stone County",46.8,59,-0.4,47.2
AR-139,"Union County",51.8,49,-1.2,53
AR-141,"Van Buren County",46.8,48,-0.8,47.6
AR-143,"Washington County",47.3,65,0.3,47
AR-145,"White County",48.9,55,-0.8,49.7
AR-147,"Woodruff County",48.5,41,-1.4,49.9
AR-149,"Yell County",48.9,49,-0.9,49.8
CA-001,"Alameda County",57.0,123,3.9,53.1
CA-003,"Alpine County",43.4,125,6.7,36.7
CA-005,"Amador County",55.2,124,5.0,50.2
CA-007,"Butte County",54.0,115,3.4,50.6
CA-009,"Calaveras County",55.2,123,4.9,50.3
CA-011,"Colusa County",56.0,124,4.2,51.8
CA-013,"Contra Costa County",56.4,119,3.1,53.3
CA-015,"Del Norte County",47.6,117,3.2,44.4
CA-017,"El Dorado County",51.7,125,5.3,46.4
CA-019,"Fresno County",51.2,123,4.5,46.7
CA-021,"Glenn County",54.4,120,3.8,50.6
CA-023,"Humboldt County",50.3,121,3.3,47
CA-025,"Imperial County",70.0,127,7.8,62.2
CA-027,"Inyo County",56.3,126,7.2,49.1
CA-029,"Kern County",57.9,126,6.1,51.8
CA-031,"Kings County",56.2,110,3.0,53.2
CA-033,"Lake County",52.8,121,3.9,48.9
CA-035,"Lassen County",41.8,124,4.7,37.1
CA-037,"Los Angeles County",60.0,124,5.5,54.5
CA-039,"Madera County",51.7,124,4.5,47.2
CA-041,"Marin County",55.3,110,2.3,53
CA-043,"Mariposa County",52.6,125,5.7,46.9
CA-045,"Mendocino County",52.4,120,3.3,49.1
CA-047,"Merced County",56.6,120,3.7,52.9
CA-049,"Modoc County",41.5,121,4.9,36.6
CA-051,"Mono County",42.5,126,7.0,35.5
CA-053,"Monterey County",58.1,126,5.5,52.6
CA-055,"Napa County",54.1,103,2.1,52
CA-057,"Nevada County",49.1,122,4.4,44.7
CA-059,"Orange County",65.1,126,5.1,60
CA-061,"Placer County",50.3,123,4.3,46
CA-063,"Plumas County",42.7,120,3.8,38.9
CA-065,"Riverside County",65.7,127,7.5,58.2
CA-067,"Sacramento County",55.6,96,1.9,53.7
CA-069,"San Benito County",56.7,125,5.4,51.3
CA-071,"San Bernardino County",62.1,127,7.3,54.8
CA-073,"San Diego County",63.1,127,6.9,56.2
CA-075,"San Francisco County",57.2,117,3.1,54.1
CA-077,"San Joaquin County",56.9,123,3.6,53.3
CA-079,"San Luis Obispo County",58.4,125,5.6,52.8
CA-081,"San Mateo County",57.2,125,4.0,53.2
CA-083,"Santa Barbara County",59.6,127,6.2,53.4
CA-085,"Santa Clara County",56.8,125,4.9,51.9
CA-087,"Santa Cruz County",57.9,126,5.1,52.8
CA-089,"Shasta County",49.2,119,3.3,45.9
CA-091,"Sierra County",44.7,126,5.5,39.2
CA-093,"Siskiyou County",42.9,119,3.5,39.4
CA-095,"Solano County",55.2,98,1.8,53.4
CA-097,"Sonoma County",54.5,112,2.4,52.1
CA-099,"Stanislaus County",56.5,122,3.9,52.6
CA-101,"Sutter County",56.0,107,2.5,53.5
CA-103,"Tehama County",52.8,113,3.3,49.5
CA-105,"Trinity County",46.0,112,2.7,43.3
CA-107,"Tulare County",50.8,126,5.3,45.5
CA-109,"Tuolumne County",48.5,125,5.7,42.8
